candidate_id,rank,score,reasoning
CAND_0000042,1,75.6162,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000102,2,75.5172,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000006,3,75.0687,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000066,4,74.9697,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000126,5,74.8707,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000030,6,74.4567,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000090,7,74.3577,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000054,8,73.8102,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000114,9,73.7112,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000018,10,71.7627,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000078,11,71.6637,"Senior ML Engineer with 8.7 yrs; 5 matched skills; actively seeking."
CAND_0000012,12,69.5257,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000072,13,69.4267,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000132,14,69.3277,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000036,15,68.8792,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000001,16,68.7972,"Backend Engineer with 6.9 yrs; 4 matched skills; actively seeking."
CAND_0000096,17,68.7802,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000060,18,68.2672,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000120,19,68.1682,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000024,20,67.7197,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000084,21,67.6207,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000048,22,65.5732,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000108,23,65.4742,"Senior ML Engineer with 3.3 yrs; 5 matched skills; actively seeking."
CAND_0000027,24,59.5015,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000087,25,59.4025,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000051,26,58.8550,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000111,27,58.7560,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000026,28,58.7320,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 75%."
CAND_0000086,29,58.6330,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 75%."
CAND_0000040,30,57.5505,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 70%."
CAND_0000100,31,57.4515,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 70%."
CAND_0000015,32,56.8075,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000075,33,56.7085,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000135,34,56.6095,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000050,35,56.5855,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 45%."
CAND_0000110,36,56.4865,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 45%."
CAND_0000028,37,56.3910,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 85%."
CAND_0000088,38,56.2920,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 85%."
CAND_0000039,39,56.1610,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000099,40,56.0620,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000014,41,56.0380,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 90%."
CAND_0000074,42,55.9390,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 90%."
CAND_0000134,43,55.8400,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 90%."
CAND_0000052,44,55.7445,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 55%."
CAND_0000112,45,55.6455,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 55%."
CAND_0000123,46,55.4500,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000016,47,55.1970,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 25%."
CAND_0000076,48,55.0980,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 25%."
CAND_0000025,49,55.0825,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 70%."
CAND_0000085,50,54.9835,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 70%."
CAND_0000122,51,54.6805,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 30%."
CAND_0000003,52,54.1135,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000063,53,54.0145,"DevOps Engineer with 5.7 yrs; 0 matched skills; actively seeking."
CAND_0000038,54,53.8915,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 60%."
CAND_0000098,55,53.7925,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 60%."
CAND_0000062,56,53.2450,"Frontend Engineer with 5.1 yrs; 0 matched skills; response rate 30%."
CAND_0000061,57,52.6300,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 25%."
CAND_0000121,58,52.5310,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 25%."
CAND_0000004,59,52.5030,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 40%."
CAND_0000064,60,52.4040,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 40%."
CAND_0000013,61,52.3885,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 85%."
CAND_0000124,62,52.3050,"Data Engineer with 6.9 yrs; 0 matched skills; response rate 40%."
CAND_0000073,63,52.2895,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 85%."
CAND_0000133,64,52.1905,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 85%."
CAND_0000041,65,52.1200,"Product Manager with 7.5 yrs; 0 matched skills; response rate 75%."
CAND_0000101,66,52.0210,"Product Manager with 7.5 yrs; 0 matched skills; response rate 75%."
CAND_0000037,67,51.7420,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 55%."
CAND_0000097,68,51.6430,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 55%."
CAND_0000029,69,50.9605,"Product Manager with 7.5 yrs; 0 matched skills; response rate 90%."
CAND_0000089,70,50.8615,"Product Manager with 7.5 yrs; 0 matched skills; response rate 90%."
CAND_0000005,71,50.0725,"Product Manager with 7.5 yrs; 0 matched skills; response rate 45%."
CAND_0000065,72,49.9735,"Product Manager with 7.5 yrs; 0 matched skills; response rate 45%."
CAND_0000049,73,49.9360,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 40%."
CAND_0000125,74,49.8745,"Product Manager with 7.5 yrs; 0 matched skills; response rate 45%."
CAND_0000109,75,49.8370,"Backend Engineer with 3.9 yrs; 0 matched skills; response rate 40%."
CAND_0000055,76,49.2730,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 70%."
CAND_0000021,77,49.1845,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000115,78,49.1740,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 70%."
CAND_0000081,79,49.0855,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000056,80,48.9625,"Frontend Engineer with 10.5 yrs; 0 matched skills; response rate 75%."
CAND_0000116,81,48.8635,"Frontend Engineer with 10.5 yrs; 0 matched skills; response rate 75%."
CAND_0000053,82,48.8140,"Product Manager with 7.5 yrs; 0 matched skills; response rate 60%."
CAND_0000113,83,48.7150,"Product Manager with 7.5 yrs; 0 matched skills; response rate 60%."
CAND_0000017,84,48.2665,"Product Manager with 7.5 yrs; 0 matched skills; response rate 30%."
CAND_0000057,85,48.2320,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000077,86,48.1675,"Product Manager with 7.5 yrs; 0 matched skills; response rate 30%."
CAND_0000117,87,48.1330,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000045,88,47.0380,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000105,89,46.9390,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000020,90,46.9150,"Frontend Engineer with 10.5 yrs; 0 matched skills; response rate 45%."
CAND_0000091,91,46.8205,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 25%."
CAND_0000080,92,46.8160,"Frontend Engineer with 10.5 yrs; 0 matched skills; response rate 45%."
CAND_0000043,93,46.5790,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 85%."
CAND_0000103,94,46.4800,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 85%."
CAND_0000010,95,46.3800,"Data Engineer with 12.3 yrs; 0 matched skills; response rate 70%."
CAND_0000070,96,46.2810,"Data Engineer with 12.3 yrs; 0 matched skills; response rate 70%."
CAND_0000130,97,46.1820,"Data Engineer with 12.3 yrs; 0 matched skills; response rate 70%."
CAND_0000007,98,46.0315,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 55%."
CAND_0000067,99,45.9325,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 55%."
CAND_0000127,100,45.8335,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 55%."
